acc_x [m/s^2], acc_y [m/s^2], angular_z [rad/s^2], stamp
-0.020041406,0.031907200813293402,6.6006E-06,1759500751637173982
-0.025393367,-0.011178076,-6.61E-06,1759500751667175610
-0.007187307,0.014057517051696699,-7.44E-11,1759500751697233612
0.032501101493835401,0.026507974,-1.26E-10,1759500751729442079
-0.016118586,0.011762380599975499,1.71425E-11,1759500751757356937
-0.021365583,-0.015300393,-7.79E-12,1759500751787572407
0.00957495,-0.000784159,-9.51E-12,1759500751817387975
-0.022345603,0.010037899017333899,-3.11E-10,1759500751847467720
0.003186166,-0.01518786,-1.08E-10,1759500751877479766
0.014150739,-0.007967412,-4.70E-11,1759500751906527068
-0.014554024,0.00292474,-8.32E-11,1759500751937810341
0.001674414,0.004814208,2.88185E-11,1759500751969540874
0.014209508895873999,0.008240521,2.31902E-11,1759500752000571586
-0.012845159,-0.009875655,3.11248E-10,1759500752028168580
-0.011211693,-0.015262246,2.5686E-10,1759500752057856751
-0.004035175,-0.013334394,-2.87E-10,1759500752087887440
0.001303077,0.019228816032409599,3.04367E-11,1759500752117997045
0.032981395721435498,-0.006076634,-0.000940128,1759500752148001995
0.089273214340209905,0.008631885,0.004719456,1759500752178056750
0.24553143978118891,0.50170040130615234,0.223627167,1759500752209449089
0.12889623641967771,0.57975900173187256,0.876063548,1759500752241579582
-0.443786085,0.33396637439727778,1.339907798,1759500752268223653
0.12000268697738641,-0.011969566,0.416964283,1759500752298200398
-0.377233446,0.1097122430801391,0.680824911,1759500752328252395
0.036548793315887403,0.2513081431388855,0.498528766,1759500752358281908
-0.465093493,0.57365524768829346,0.498310478,1759500752388334918
0.038815021514892502,0.25755017995834351,0.601700039,1759500752418413172
0.1477019786834716,-0.151646197,0.471266628,1759500752449778415
-0.442747474,0.2163208723068237,0.418060296,1759500752481376035
-0.027901828,-0.233584702,2.064131257,1759500752507625575
-0.422886908,-0.006163061,-1.254378798,1759500752538627638
-0.311942399,-0.289236784,0.190198388,1759500752567687562
0.17137885093688959,-0.005113721,-0.546272562,1759500752598746070
-0.285199761,0.14850229024887079,0.158161255,1759500752628811640
0.043886542320251402,-0.070087671,0.059708728,1759500752659023565
-0.619944513,0.29652762413024902,-0.127937607,1759500752689610954
0.58913499116897583,-0.058187723,-0.17974212,1759500752721340203
-0.423666596,-0.007880151,0.892069635,1759500752749024119
-0.163294911,-0.00411576,-0.50756647,1759500752779069761
-0.101650238,0.067470192909240695,0.01093841,1759500752809184291
-0.495883644,-0.023257077,-0.067070571,1759500752839348700
0.021615088,0.1307903528213501,0.105117693,1759500752869348495
-0.679447234,0.22191411256790161,-0.004888196,1759500752899213944
0.45174646377563471,-0.088064551,-0.012118024,1759500752929466030
-0.243489087,0.013292372226714999,-0.404648626,1759500752961787144
-0.166478038,0.18872940540313721,0.502269156,1759500752991502495
0.11216312646865841,0.072049379,0.518532888,1759500753019427992
-0.48928082,-0.071165264,-0.613214338,1759500753049511366
-0.306510806,-0.219523072,0.059329884,1759500753079530865
-0.759361267,-0.046720743,0.174999827,1759500753108619846
0.21666508913040161,-0.094108164,-0.389148172,1759500753139857235
-0.734034956,-0.101081133,0.291220383,1759500753169804816
0.24545997381210319,-0.137889862,-0.428032252,1759500753201623154
-0.217412472,-0.120894372,0.146211342,1759500753232574566
-0.654646218,-0.104274094,0.887723532,1759500753259851959
0.009394646,-0.003234029,-0.564381857,1759500753289902387
-0.411989689,-0.033833623,-0.083438774,1759500753319916648
-0.320722163,0.1008723974227905,0.071187358,1759500753350033128
-0.212926984,0.085745334625244099,0.079277108,1759500753380041920
0.078950941562652505,0.099170386791229206,-0.082287073,1759500753410157173
0.38970452547073359,-0.022259235,-0.20335762,1759500753441730180
-0.426009357,0.27411913871765131,-0.178223283,1759500753473937421
0.27366888523101801,0.029832184,1.383981899,1759500753500597502
-0.671792507,-0.057159364,-0.802009736,1759500753530347165
-0.31383872,-0.066534758,-0.072114165,1759500753560421729
0.1012489199638366,0.1471179127693176,0.047591426,1759500753590450970
-0.380863547,0.22471040487289429,-0.066765999,1759500753620444844
0.31418031454086298,0.010789037,0.13663592,1759500753650548918
-0.965061903,-0.349602938,-0.146175643,1759500753681509422
0.080205857753753607,-0.168721855,-0.149464467,1759500753713302785
-0.182580709,-0.019485652,0.925711038,1759500753740787655
-0.715095103,-0.091341496,-0.706066858,1759500753770960585
-0.017785966,-0.151040912,0.197291947,1759500753800854709
-0.492138207,0.1982732415199279,-0.071118563,1759500753830922855
0.32059866189956659,0.086359798908233601,0.061511026,1759500753860904026
-0.552727878,-0.137933612,-0.118989429,1759500753891014239
-0.137971997,0.054014266,-0.257766351,1759500753922414653
0.093409240245818995,-0.045355439,0.166308301,1759500753953340628
-0.333135486,0.3331917524337768,0.60008293,1759500753981166301
-0.00577569,0.057582378387451102,-0.502566493,1759500754011177309
-0.513301551,-0.12722075,-0.157775221,1759500754041910938
-0.015143692,-0.014152944,0.245793348,1759500754071905284
-0.533512533,0.1058828830718994,0.01068171,1759500754101858343
0.1159422993659973,0.026934981346130302,-0.109535179,1759500754132238787
0.028350174427032401,-0.300310314,0.054758781,1759500754162463201
-0.948237479,-0.002502978,-0.17186826,1759500754193380216
-0.083874226,0.1485668420791626,0.219102536,1759500754223548532
-0.439312696,-0.051397622,0.296602989,1759500754252249095
-0.142709851,-0.135907829,-0.252225783,1759500754282064476
-0.15591377,-0.228635132,-0.046843452,1759500754312147168
-0.421137452,0.079118192195892306,0.048041947,1759500754342042912
0.32169115543365479,0.11075377464294429,0.007812244,1759500754372300940
-0.496807754,0.1491134166717529,-0.059550497,1759500754402313954
0.33595693111419678,-0.225591302,-0.248749138,1759500754433802730
-1.003774405,-0.150919199,0.252482541,1759500754463694040
0.13829433917999259,0.2653810977935791,0.39825008,1759500754492163024
-0.213234544,0.064036428928375203,-0.335184735,1759500754522187593
-0.215076566,-0.032080114,-0.053604921,1759500754552203074
0.062732577323913505,-0.43008852,0.139239697,1759500754582262663
-0.558136642,0.20685416460037229,-0.142132287,1759500754612666748
0.1638038754463195,-0.036541581,0.181320852,1759500754642321951
-0.372430861,-0.280643702,-0.354930225,1759500754673475322
-0.339877427,0.19156777858734131,-0.202266812,1759500754705640092
-0.262038469,-0.123096764,1.432892449,1759500754732467221
-0.143414676,0.48772019147872919,-0.879596706,1759500754762460312
0.1067067980766296,-0.086242259,0.004459941,1759500754792504453
-0.40864116,-0.183877468,0.043651335,1759500754822542101
-0.215838015,0.044234037399291902,-0.024828182,1759500754852599425
-0.002433956,0.31254959106445312,0.026174847,1759500754882624607
-0.201209009,0.057472467422485303,-0.273799868,1759500754913450828
0.001139045,-0.275080621,-0.241278791,1759500754945976766
-0.624393404,0.097902655601501395,1.364866686,1759500754972819603
0.056630969047546303,0.097263514995574896,-0.649907688,1759500755002864015
-0.554759204,-0.041421115,0.017024106,1759500755032888250
-0.128670096,-0.185123682,-0.036896629,1759500755062942854
-0.101461768,-0.224266052,0.041063681,1759500755093004254
-0.650862455,0.2247712016105651,-0.067119327,1759500755123106576
-0.033689499,0.027750968933105399,0.16904845,1759500755152689524
-0.356017768,-0.307678998,-0.618283515,1759500755185399529
-0.102528393,-0.15850085,1.118271383,1759500755213273100
-0.00709182,0.1243724226951599,-0.459503943,1759500755243257741
-0.13555634,0.26349890232086182,-0.002576996,1759500755273266302
0.4640365839004516,-0.118681252,-0.025584169,1759500755303332735
-0.670910299,-0.008581102,-0.05131162,1759500755333370487
0.1213679313659668,0.024060011,0.074773735,1759500755363446725
-0.363388658,0.2057886719703674,-0.134059659,1759500755393894619
0.086988568305969197,0.078598678112030002,-0.084267997,1759500755424686196
-0.048662901,-0.174081683,-0.167824063,1759500755456223454
-0.292536676,0.22442615032196039,0.994307471,1759500755483648016
0.14810454845428461,0.11402410268783569,-0.256446601,1759500755512697864
-0.944037199,-0.042937636,-0.430754782,1759500755543814994
0.1090969443321228,-0.30627352,0.181276977,1759500755573815725
-0.551188827,-0.213191271,-0.094227006,1759500755603953095
-0.408092916,-0.137293816,-0.001614,1759500755633965764
-0.035373986,0.083282351493835394,-0.266828006,1759500755665455144
-0.284286797,-0.087218225,-0.189482613,1759500755697459766
-0.060084283,-0.125390172,1.397177767,1759500755724147589
-0.619998634,-0.076089621,-0.784988153,1759500755754126192
-0.289400041,0.2072950005531311,0.055586013,1759500755784177171
0.24677109718322751,-0.228826344,0.091038958,1759500755814195784
-0.397059441,0.051614761,-0.109991201,1759500755844388250
0.053735077381133999,-0.132171571,0.018636703,1759500755874619373
-0.679100811,0.29138952493667603,-0.294927087,1759500755905873548
0.2573624849319458,0.026709556579589799,-0.067874554,1759500755938025009
-0.910019875,-0.290736854,1.421388281,1759500755964573026
0.081531822681427002,-0.238291562,-0.762811087,1759500755994560147
-0.034176707,0.059821427,0.016005084,1759500756024604061
-0.740742564,0.11696642637252801,-0.055025429,1759500756054633081
0.17185550928115839,-0.214354277,0.214243573,1759500756083702738
-0.481461287,-0.177652597,-0.481544981,1759500756114738419
0.090919852256774902,0.19572585821151731,0.263438262,1759500756144718284
-0.158542275,0.15397578477859489,-0.537471219,1759500756177602160
-0.05989486,0.13434857130050659,1.230820448,1759500756204967438
0.21038186550140381,-0.208266377,-0.486131097,1759500756234914241
-0.405345559,0.16248315572738639,-0.087705444,1759500756265001380
0.1348538994789123,0.016503751277923501,0.040971876,1759500756295053913
-0.45797205,0.032011747360229402,-0.019471311,1759500756325113560
0.17645078897476191,-0.058079839,-0.061328066,1759500756355261074
-0.486272812,0.048432052135467502,0.152899115,1759500756384719878
-0.117320597,0.1106172204017639,-0.642845068,1759500756417999723
0.24275344610214231,-0.079393029,1.395386669,1759500756445437610
-0.565363109,-0.112046778,-0.700818511,1759500756475361474
-0.190379024,-0.211828113,0.031611633,1759500756505419339
-0.646440148,0.021822810173034599,-0.007765618,1759500756535478947
7.4326992034912109e-05,-0.060325444,0.001120907,1759500756565514326
-0.154516459,-0.100225747,0.012864184,1759500756595559147
-0.310426116,-0.056607544,0.095366954,1759500756624730426
0.12023288011550901,0.079046130180358803,-0.593801459,1759500756657540002
-0.714853168,-0.019866168,0.620629319,1759500756687035415
0.1251236200332641,0.065652132034301702,0.173265262,1759500756725747678
-0.256635785,-0.278131902,-0.192144628,1759500756755839815
-0.1733042,-0.199933767,-0.009099311,1759500756785912491
-0.124109864,0.035567581653594901,-0.336932317,1759500756817595499
-0.843696415,-0.03063488,0.090273007,1759500756848560864
-0.015217066,0.088830351829528795,0.517063874,1759500756886101264
-0.356562376,-0.093244553,-0.524929165,1759500756916271328
0.10206204652786249,-0.18986994,0.139496394,1759500756946181172
-0.738697827,0.34520137310028071,-0.350705328,1759500756977523151
0.35463142395019531,0.12591177225112909,-0.047848302,1759500757009245346
-0.295983553,-0.204532981,0.628903255,1759500757046306789
0.032625854,-0.019619048,-0.483817436,1759500757076377436
-0.457019567,-0.290029764,0.027058669,1759500757106457830
-0.150845647,0.24246853590011591,-0.223785831,1759500757137524631
0.068829178810119601,-0.072016954,-0.228458352,1759500757170116456
-0.66542536,-0.051298738,1.559476461,1759500757196568233
-0.21242094,0.1282204389572143,-0.81016227,1759500757226647549
-0.08848685,0.18629622459411621,-0.047369896,1759500757256668349
0.1183576583862304,0.031846344,-0.093909963,1759500757286764513
0.044278085231780999,-0.284404457,-0.022712205,1759500757316781323
-0.458016038,0.14864516258239741,-0.039871739,1759500757346958990
0.007700205,0.20315420627593991,-0.016232457,1759500757377925638
-0.537670672,0.022000432014465301,-0.153018165,1759500757409738118
0.031030178,-0.09204495,1.119813505,1759500757437109544
-0.459882021,-0.081992686,-0.681445868,1759500757467044030
-0.127590239,-0.096645534,-0.031577022,1759500757497086149
-0.003364742,0.30962890386581421,0.029451625,1759500757527129895
-0.309213519,0.120494545,-0.062745385,1759500757557217287
0.19238674640655509,-0.03441608,0.116481056,1759500757587278803
-0.620116293,-0.148272872,-0.193413924,1759500757618005842
-0.159354448,0.12174993753433221,-0.13412992,1759500757649812197
0.13278681039810181,0.21637648344039909,1.030484506,1759500757677489799
-0.386439383,-0.099466026,-0.627031232,1759500757707496676
0.2560159564018249,0.029444098472595201,-1.022539681,1759500757730585801
-0.383717716,0.43146103620529169,1.609451427,1759500757757635225
0.53986132144927979,0.1092596054077148,-0.701145908,1759500757787580021
0.055194199085235499,-0.058325946,-0.868894883,1759500757809861248
-0.64680779,0.34169989824295038,1.098587376,1759500757837729711
0.33430910110473627,0.047328650951385498,-0.182302552,1759500757866706225
-0.508598566,-0.091464937,-0.42982903,1759500757897765627
0.21062397956848139,0.1021022796630859,0.201451262,1759500757927796194
-0.207952201,0.1771408319473266,0.060436418,1759500757957886623
-0.224220395,0.013684213161468501,-0.00878914,1759500757987915148
0.042984783649444497,-0.036308587,-0.019634387,1759500758017991951
-0.53277123,0.1078718304634094,-0.420448871,1759500758049826205
-0.092489362,0.071441352367401095,0.135483626,1759500758081145285
-0.445308745,-0.135915935,1.045882044,1759500758108201387
-0.064328253,-0.064505279,-0.693062065,1759500758138210895
0.043924450874328599,-0.128291428,0.071367954,1759500758168255956
-0.598341286,0.076485514640808105,-0.027305888,1759500758198313840
-0.058673143,0.085661768913269001,0.039086047,1759500758228361697
-0.739616215,-0.200571716,-0.085395221,1759500758258431130
0.061202883720397901,-0.293502748,-0.291518662,1759500758290016139
-0.166419148,0.1797329783439636,0.001338334,1759500758321655344
-0.279125929,0.15231895446777341,1.18468401,1759500758348562067
0.1331982016563415,0.1215970516204834,-0.663545555,1759500758378580174
-0.271198094,-0.032553375,-0.01519268,1759500758408623189
0.19646948575973511,0.20601952075958249,0.284446864,1759500758437687143
-0.114548564,0.14840942621231079,-0.461071831,1759500758468734583
-0.229222119,-0.041074634,0.161059561,1759500758498859672
-0.344761193,-0.193870246,-0.252304095,1759500758530344746
-0.347158551,0.23419374227523801,0.200101063,1759500758560691250
0.29300594329833979,0.041080832481384201,0.57926934,1759500758589003451
-0.40915972,-0.27770555,-0.474141115,1759500758619042281
-0.305315912,-0.013848066,0.046029741,1759500758649069519
-0.460778594,-0.26827091,-0.012416714,1759500758679132412
-0.380588531,0.17956411838531491,-0.071075683,1759500758709146686
0.22328484058380119,-0.162985384,-0.031137229,1759500758739254891
-0.913999021,-0.1447227,-0.121492174,1759500758769810790
0.2056741118431091,-0.059346378,0.009696733,1759500758800705649
-0.232630849,0.14838743209838859,0.425634398,1759500758829407756
-0.091361344,-0.037138104,-0.259353835,1759500758859427410
-0.183214962,-0.268129349,0.041773761,1759500758889536694
-0.37888366,0.1463005542755127,-0.030878687,1759500758919613636
-0.172819257,-0.189706981,0.094496116,1759500758949743146
-0.761422515,0.094698429107666002,-0.038701644,1759500758979777562
-0.025918186,-0.087513268,-0.027640554,1759500759009881934
-0.605341256,-0.307263315,-0.426573215,1759500759042196622
-0.204180002,-0.095964313,0.486530788,1759500759072058052
0.2978522777557373,0.061636984348297098,0.644921354,1759500759099924597
-0.625902891,-0.010440767,-0.59087698,1759500759129861308
-0.124897897,-0.142476261,-0.008779614,1759500759159919536
-0.732514977,-0.100722492,-0.053742335,1759500759189960610
0.33238679170608521,0.036587178707122803,0.01695156,1759500759220192551
-0.272973895,0.092649459838867104,0.085383543,1759500759250151714
-0.524205923,-0.009173274,-0.365627965,1759500759281927319
0.1727958917617797,-0.101944447,0.014487504,1759500759313858379
-0.412917912,-0.303806961,0.768541327,1759500759350330434
-0.192288935,-0.058295071,-0.535711647,1759500759380325699
-0.180593908,-0.044274271,-0.081483387,1759500759410458108
0.2030634880065918,-0.008065701,-0.285930341,1759500759442045197
-0.823839068,-0.283151567,-0.049260773,1759500759473635879
-0.057352901,0.13716018199920649,1.421298738,1759500759499746864
0.089344382286071694,0.14050537347793579,-1.06571278,1759500759530579285
-0.464594603,0.020310878753662099,0.142660628,1759500759560610727
0.070461571216583196,-0.007522643,0.038363854,1759500759590812925
-0.272225857,0.22215801477432251,-0.04149936,1759500759620786276
0.27176272869110107,0.1087943315505981,0.006340803,1759500759650917475
-0.25458771,-0.125406742,-0.27092547,1759500759682207341
0.087207436561584403,-0.058540583,-0.059064929,1759500759713652338
-0.156224072,0.002275288,1.484207028,1759500759740029843
-0.870207787,0.13882797956466669,-1.086389471,1759500759771032788
0.004836977,-0.020263612,0.280651501,1759500759801082612
-0.330495477,-0.243314505,-0.076109653,1759500759831131439
0.004978716,-0.270812988,0.008830462,1759500759861247490
-0.101926923,0.084071993827819796,0.061242936,1759500759891246890
-0.543185353,-0.203472853,-0.200922155,1759500759921788823
-0.048134625,-0.167324603,-0.002273698,1759500759952682105
-0.682183504,-0.062185764,0.401821667,1759500759981410083
-0.053797722,0.27087301015853882,-0.212858772,1759500760011406463
0.087862432003021199,-0.048109353,-0.03875676,1759500760041443999
-0.395810306,-0.11378181,-0.120284281,1759500760072121368
-0.014712691,-0.168358207,0.223408944,1759500760102189975
-0.343463242,0.2967462539672851,-0.059884559,1759500760132226115
0.4534770250320434,0.024929463863372799,0.021831445,1759500760162379029
-0.730190694,-0.129087627,-0.469798825,1759500760194413932
-0.021012366,0.100782573,0.492182206,1759500760224098581
-0.138289452,0.053638339042663498,0.432475487,1759500760252282809
-0.438196898,0.28777784109115601,-0.441297731,1759500760282316305
0.030283451,-0.28279835,0.010580518,1759500760312347663
-0.36339587,-0.199465215,-0.075289099,1759500760342337723
-0.248086929,-0.111919284,-0.004404997,1759500760372442090
-0.532476544,0.1433728337287902,-0.021266174,1759500760402475288
-0.149186432,0.029555261135101301,-0.251292753,1759500760433836736
-0.054378688,-0.116586864,0.044336138,1759500760465153836
-0.31231153,0.1062578558921814,0.913064375,1759500760492639348
-0.160166919,0.1096178889274597,-0.454238586,1759500760522602489
-0.412855327,0.25028514862060541,0.17045194,1759500760551708634
0.31890648603439331,-0.113241076,-0.409739544,1759500760582643942
-0.486992955,-0.099858224,0.149738397,1759500760612614555
-0.025608003,0.062420189380645703,0.002124511,1759500760642651610
-0.026632845,0.088379979133605902,-0.131054539,1759500760673675129
-0.968420148,-0.136766136,-0.293577139,1759500760706095006
-0.043051183,-0.121457756,1.560476597,1759500760732831576
-0.296080351,-0.178190351,-0.646691873,1759500760761724422
-0.05843854,0.047087132930755601,-0.183460659,1759500760791718033
-0.324260533,-0.024668574,-0.193107917,1759500760822770334
-0.339426458,-0.237390459,0.022161919,1759500760853084761
0.2364851832389831,-0.199168384,0.123348538,1759500760882906563
-0.556494772,0.32173699140548701,-0.11963738,1759500760912701589
0.13156473636627189,0.25686061382293701,-0.526803331,1759500760945980967
-0.327193022,-0.190655053,1.415704932,1759500760973189145
-0.21596849,0.070803880691528306,-0.648218193,1759500761003088885
-0.009494901,0.00473845,0.040433879,1759500761033194364
-0.350721061,0.3267368078231811,-0.001258597,1759500761063215756
0.60389184951782227,0.010685384273529001,0.063133817,1759500761093254073
-0.744700134,-0.171993852,-0.083041579,1759500761123323350
-0.114032209,0.1203638315200805,-0.204336286,1759500761154126873
-0.363212705,0.021248817443847601,-0.243355766,1759500761185953990
-0.27094841,-0.138051391,0.960331761,1759500761213520830
-0.358106256,-0.176016688,-0.456831267,1759500761243480656
-0.343911171,0.077670454978942802,-0.001804991,1759500761273514319
0.025385618209838801,0.013563454,0.031433647,1759500761303567350
-0.470849633,-0.079554737,-0.005112407,1759500761333639643
-0.288983583,-0.116231561,0.187034566,1759500761362695250
0.091763138771057101,-0.097353458,-0.421653292,1759500761393776148
-0.396057069,0.36039072275161738,-0.23155844,1759500761426024736
0.24177402257919309,-0.075875819,0.582246952,1759500761455829500
-0.230314374,0.020613431930541899,0.385210953,1759500761483912209
0.065964162,0.17030966281890869,-0.342656305,1759500761513962697
