e, e_dot, e_int, stamp, 
1.4133566592711952, -0.008001771067087484, 0.09614525251378839, 20230000000, 
1.411725021286938, -0.02399800300597675, 0.09608976862477143, 20264000000, 
1.4092809303415765, -0.039958126760967806, 0.0959788858470601, 20298000000, 
1.4060286434412652, -0.05584684162424406, 0.09581278415491502, 20332000000, 
1.4023275535333168, -0.0681703608652911, 0.09559977488583293, 20366000000, 
1.3982203990648367, -0.07655141545518102, 0.09534906951022683, 20400000000, 
1.3936548391748198, -0.08502661135781407, 0.09506859661352073, 20434000000, 
1.3773022461162427, -0.09820023767525458, 0.1890027126241341, 20536000000, 
1.3593002705270947, -0.11226983218210827, 0.28085750019563466, 20638000000, 
1.34665907231264, -0.12079664349944508, 0.23138482337417204, 20706000000, 
1.3269004006316034, -0.1265374804010413, 0.22852871879670913, 20808000000, 
1.306383417656074, -0.1316197864593657, 0.27063611656082154, 20910000000, 
1.2852634824464413, -0.1360683600822292, 0.26646121644992005, 21012000000, 
1.270977993042681, -0.1390463049518731, 0.21888207727822778, 21080000000, 
1.2493453325549622, -0.14072187775607603, 0.21564991912249812, 21182000000, 
1.227534478846152, -0.14197226861610796, 0.25485433070217806, 21284000000, 
1.2056072415925796, -0.14293493778556396, 0.25040911960357115, 21386000000, 
1.1836041843554814, -0.1435630538910802, 0.24593872152600646, 21488000000, 
1.1615384728975744, -0.14401558397060524, 0.2414509931215032, 21590000000, 
1.1394106613038817, -0.1444232779464044, 0.2369496256618717, 21692000000, 
1.1246242121063927, -0.1447957038886475, 0.19411582295744476, 21760000000, 
1.1023973154770181, -0.14511951119479746, 0.19076449070361323, 21862000000, 
1.08012001011173, -0.14543856861000867, 0.22488562456326955, 21964000000, 
1.05780032197054, -0.14574180884469953, 0.22034160003403155, 22066000000, 
1.0354451719344555, -0.1459962031937078, 0.21578885427313732, 22168000000, 
1.0205288547019702, -0.1461752479895835, 0.17644721308772804, 22236000000, 
0.9981437135110774, -0.14627325829941415, 0.17306667194169184, 22338000000, 
0.9757554205259205, -0.14631841234003182, 0.20362110323424978, 22440000000, 
0.9608272265682978, -0.14634177752153923, 0.16630116043430007, 22508000000, 
0.9384282969495744, -0.14637653776195222, 0.16291728682914824, 22610000000, 
0.9160192704181114, -0.1464312292489752, 0.19143868598764688, 22712000000, 
0.9010745234329528, -0.14649067650065653, 0.15614625181203617, 22780000000, 
0.878651309375374, -0.14653704096508732, 0.15275888918283148, 22882000000, 
0.8562237158793135, -0.14657126651516128, 0.17924456931075952, 22984000000, 
0.8337983509955684, -0.14657829535884156, 0.17466978958501736, 23086000000, 
0.811375766980348, -0.14656192450642316, 0.17009505270215564, 23188000000, 
0.7889511207528948, -0.14655957595644994, 0.16552051623355915, 23290000000, 
0.7739980662401804, -0.14658244443308732, 0.13454508072516067, 23358000000, 
0.7515631958015765, -0.14661585688782822, 0.1311557016916969, 23460000000, 
0.7291254968937481, -0.14664238348507308, 0.15331869960761432, 23562000000, 
0.7066897750806127, -0.14664516575478362, 0.14874173580876368, 23664000000, 
0.6842567161931419, -0.1466300022895627, 0.14416489519539016, 23766000000, 
0.6693016393961697, -0.14661984994421265, 0.11674739407129571, 23834000000, 
0.6468666468458896, -0.14662616910372023, 0.1133574168046614, 23936000000, 
0.6244281339682209, -0.14664544257499598, 0.13196055657429903, 24038000000, 
0.6019884266541166, -0.1466608502999118, 0.1273832581078394, 24140000000, 
0.5795502318087622, -0.14665981097862338, 0.12280574188531476, 24242000000, 
0.5571140246318113, -0.14664837262191277, 0.11822838245043889, 24344000000, 
0.5346778683361614, -0.14664171069477394, 0.11365126448481795, 24446000000, 
0.5197193843089966, -0.14664667430195133, 0.09131897237902824, 24514000000, 
0.4972798942370246, -0.14665756899581425, 0.08792837165665701, 24616000000, 
0.4748397734155962, -0.1466653950764718, 0.10144505553338996, 24718000000, 
0.45240064085049797, -0.14666422675335508, 0.09686738097821207, 24820000000, 
0.4299626526842933, -0.14665725729183957, 0.09228980855262633, 24922000000, 
0.407524725692093, -0.14665331751112728, 0.08771238530742811, 25024000000, 
0.39256549636467286, -0.1466561143246095, 0.06970299623532669, 25092000000, 
0.37760569971453223, -0.14666189204686664, 0.05338888178696552, 25160000000, 
0.34768540015540333, -0.14666640406718176, 0.07601424854395337, 25296000000, 
0.3252458715107758, -0.14666586050318375, 0.08334259972953642, 25398000000, 
0.3028071044355761, -0.14666109712361833, 0.06635020957491934, 25500000000, 
0.280368347662711, -0.1466585746668783, 0.06177265000541627, 25602000000, 
0.2579289088869506, -0.14666076976675016, 0.057195096546996164, 25704000000, 
0.23548887661416676, -0.1466649380671381, 0.052617457055140315, 25806000000, 
0.22052887469137739, -0.14666678155871857, 0.040456977410908035, 25874000000, 
0.19808925662694638, -0.14666542793665058, 0.03706606378284112, 25976000000, 
0.17565008498991988, -0.1466627114426716, 0.040410238708960565, 26078000000, 
0.15321087844932968, -0.1466613665935186, 0.03583261496450132, 26180000000, 
0.13077122394554372, -0.1466629445894646, 0.03125498874216594, 26282000000, 
0.10833124750263116, -0.1466654606101259, 0.02667730779303031, 26384000000, 
0.0858914464516079, -0.14666593952266607, 0.022099586417185225, 26486000000, 
0.06581365021850655, -0.1389463963533484, 0.0176824714037467, 26588000000, 
0.049337390555246344, -0.11945769900771752, 0.013670889131324531, 26690000000, 
0.03657282582143151, -0.09555824966364392, 0.010317222928472538, 26792000000, 
0.02999937184973375, -0.07393707742274992, 0.0065682099994966575, 26860000000, 
0.023508550615114206, -0.0534346476868176, 0.005104575736222502, 26962000000, 
0.019645128074645402, -0.033837397957805056, 0.004974407436685547, 27064000000, 
0.017355859916829, -0.020106832347337275, 0.0041146486252480255, 27166000000, 
0.015918647102158408, -0.012178042393748348, 0.0035985351863670307, 27268000000, 
0.01459090652639844, -0.009035795393563922, 0.003254848121086237, 27370000000, 
0.01358743562408949, -0.009257996500730038, 0.0024988293909832923, 27438000000, 
0.011794953943900696, -0.01077675827990921, 0.0022651534453486887, 27540000000, 
