x, y, theta, stamp, 
5.7878838449474885e-05, -9.941305275612722e-07, 7.855072835737879e-07, 8731000000, 
5.7857299723394275e-05, -9.942122917716351e-07, 7.861273111139427e-07, 8765000000, 
0.0012124358167362103, -9.983392337420034e-07, 1.937794233006465e-06, 8799000000, 
0.0035226157536688337, -1.0046814264306968e-06, 2.461390419560941e-06, 8833000000, 
0.006988199839314178, -1.0142325251988902e-06, 2.099185131064771e-06, 8867000000, 
0.01160924043239604, -1.0234745158410065e-06, 2.141898793185635e-06, 8901000000, 
0.01716276178791495, 1.6095689397924532e-06, 0.001482200426440235, 8935000000, 
0.023276780014154203, 2.978138884904655e-05, 0.009560253761139406, 8969000000, 
0.037172948352929176, 0.000430986901121299, 0.05253464859237603, 9037000000, 
0.05934781044218087, 0.002514416046842107, 0.13389354168601156, 9139000000, 
0.0812867884665331, 0.006375549448695537, 0.2150672143060101, 9241000000, 
0.10284729907763362, 0.011995137176169164, 0.2955487819410224, 9343000000, 
0.12389998972001288, 0.019316338030428017, 0.3733200221574994, 9445000000, 
0.14435492514902784, 0.028207769875396898, 0.44522140966059537, 9547000000, 
0.1641718752125717, 0.03847947323935424, 0.5100557618525897, 9649000000, 
0.1833412547943988, 0.04994825335597049, 0.5675129758926847, 9751000000, 
0.2018810049350867, 0.06243936512433782, 0.6177354721488707, 9853000000, 
0.21982725941303446, 0.07579065037638606, 0.6611660678324012, 9955000000, 
0.2372227493827126, 0.08985587467010767, 0.6984230666994894, 10057000000, 
0.2485415266462495, 0.09956637749502839, 0.7208424898097958, 10125000000, 
0.2651182525346035, 0.11453441216299487, 0.7493417926925979, 10227000000, 
0.281280587368586, 0.12995549210160198, 0.7740932791813525, 10329000000, 
0.2971394520705146, 0.14577607639098386, 0.794274437091137, 10431000000, 
0.3127159857753335, 0.1618909194684133, 0.810241061939822, 10533000000, 
0.32804869661378133, 0.17824817312448754, 0.8242361681508221, 10635000000, 
0.3431765956907253, 0.1948044372389055, 0.835942978672918, 10737000000, 
0.3581289687166115, 0.21151806636077533, 0.845604508593103, 10839000000, 
0.37293062403131255, 0.22835890268866735, 0.853646412737704, 10941000000, 
0.38760760456655396, 0.24530791193347978, 0.8603374553693242, 11043000000, 
0.40218453329471404, 0.2623506740021067, 0.865844494863249, 11145000000, 
0.4166796438753586, 0.2794710420917909, 0.8704187476029869, 11247000000, 
0.4263047232423549, 0.29092096003636153, 0.873117420442894, 11315000000, 
0.4406920749735588, 0.30814158298895605, 0.8764410148640172, 11417000000, 
0.4550249058719266, 0.3254037841163319, 0.8791985585038358, 11519000000, 
0.4693109343611803, 0.34269890520869123, 0.8814910164077625, 11621000000, 
0.4835601143428519, 0.3600238140966332, 0.8834118791445463, 11723000000, 
0.497780992193222, 0.3773774399441339, 0.8849465817778146, 11825000000, 
0.5119797005932804, 0.39475492528033557, 0.8862675556117344, 11927000000, 
0.5261580078213778, 0.41214997357611827, 0.887374020464136, 12029000000, 
0.5403171090054304, 0.42955701748950365, 0.888291718273991, 12131000000, 
0.5544600207253195, 0.44697381517700924, 0.8890595107726149, 12233000000, 
0.5685909825049535, 0.46440102828186697, 0.8897034482355639, 12335000000, 
0.5827135993221414, 0.48183889999534896, 0.890244605067252, 12437000000, 
0.5968289705202108, 0.4992853210543964, 0.8907008035511093, 12539000000, 
0.6109367044572931, 0.516737011359066, 0.8910862519118943, 12641000000, 
0.6203376580304322, 0.5283732727490416, 0.8913167346489308, 12709000000, 
0.6344338197868761, 0.5458303021763538, 0.8916085382793388, 12811000000, 
0.6485256364966562, 0.5632914087479517, 0.891857082017079, 12913000000, 
0.6626146987398871, 0.5807570982835931, 0.8920693256933854, 13015000000, 
0.6767011946675586, 0.5982263165303222, 0.8922432120984145, 13117000000, 
0.6907845462302323, 0.61569742990899, 0.892399527728571, 13219000000, 
0.7048646099537638, 0.6331694543163805, 0.8925359537860417, 13321000000, 
0.7189421599566825, 0.6506426877541265, 0.8926539029798733, 13423000000, 
0.7330182956953329, 0.6681179052290227, 0.8927568740036895, 13525000000, 
0.747093511535034, 0.6855952922051988, 0.8928472306056935, 13627000000, 
0.7611675347490802, 0.7030740890290731, 0.8929269574769924, 13729000000, 
0.7752399460059081, 0.7205534661937724, 0.8929976118429881, 13831000000, 
0.7893107423887026, 0.7380331363559256, 0.8930605962295188, 13933000000, 
0.7986906249883018, 0.7496865738202039, 0.8930996700051368, 14001000000, 
0.8127599386504896, 0.7671676775847464, 0.8931522500852223, 14103000000, 
0.8268288356536123, 0.7846500194738059, 0.893199939827301, 14205000000, 
0.84089705063485, 0.8021331181642389, 0.8932435207231395, 14307000000, 
0.854964314429488, 0.8196164869531523, 0.8932828086440727, 14409000000, 
0.8690306455940835, 0.8371000536278069, 0.893320210104588, 14511000000, 
0.8830962985474244, 0.8545840582103642, 0.8933555583909546, 14613000000, 
0.8971615868686498, 0.8720688575582745, 0.8933891376238846, 14715000000, 
0.9112264931997403, 0.8895543722606165, 0.8934215514899427, 14817000000, 
0.9245717479400741, 0.9065442889269446, 0.9408177150127983, 14919000000, 
0.9363301832219305, 0.9225175579101491, 0.9297138898731583, 15021000000, 
0.9467424082749272, 0.936592492743578, 0.9289103569549677, 15123000000, 
0.9558199972301461, 0.9488035579042616, 0.9296923605761237, 15225000000, 
0.9635940545904215, 0.9592123554299095, 0.9258813998980062, 15327000000, 
0.9701776037594486, 0.9679159368515755, 0.9201853207614615, 15429000000, 
0.973961211801013, 0.9728675750864567, 0.916497916353986, 15497000000, 
0.9788190950128605, 0.9791525959278027, 0.9092936799593159, 15599000000, 
0.9828182611735427, 0.9842421164028758, 0.9006255590864358, 15701000000, 
0.9860840795051461, 0.9883201856150665, 0.8905793785182113, 15803000000, 
0.9886608023261412, 0.991467843832686, 0.8790116340255522, 15905000000, 
0.9907949937806767, 0.9940161402659698, 0.8659522869879607, 16007000000, 
0.9925073482273954, 0.9960052907868427, 0.8507387582245212, 16109000000, 
