e, e_dot, e_int, stamp, 
0.7860033103292593, 0.005651912915175679, 0.053422090399822875, 8799000000, 
0.7871606180692448, 0.016998178494755017, 0.05346138993125577, 8833000000, 
0.7889029084083631, 0.028427432148076293, 0.05354018163428899, 8867000000, 
0.7912349774132527, 0.03994469945105789, 0.05365876608819284, 8901000000, 
0.7925706005498533, 0.03595776609304126, 0.0537813923577533, 8935000000, 
0.787597915761876, -0.03565746717035952, 0.053751812524432924, 8969000000, 
0.7515843376312081, -0.2252889593461885, 0.07927959703405989, 9037000000, 
0.6808199333486509, -0.4077933708449642, 0.12580012391536496, 9139000000, 
0.6094835312046447, -0.4643817203482465, 0.13884837054854623, 9241000000, 
0.5380055269329499, -0.4667137464565392, 0.12432501142106467, 9343000000, 
0.4683438577226331, -0.4612407630131099, 0.10987663827849546, 9445000000, 
0.4036487749837621, -0.4390743527751235, 0.09587987485547546, 9547000000, 
0.3451608540670106, -0.4025588354758906, 0.08276643710059157, 9649000000, 
0.29324579898005254, -0.3607940392278091, 0.07085976910609611, 9751000000, 
0.2478288675033945, -0.31807838746279765, 0.06026401539743111, 9853000000, 
0.20854134459966533, -0.2768119424195661, 0.050973888753651636, 9955000000, 
0.17483784040871353, -0.2385327682832712, 0.04292214757080058, 10057000000, 
0.15449691421986034, -0.20985259305304446, 0.03047964562293355, 10125000000, 
0.12872327072707157, -0.1839380156080672, 0.025956621436819906, 10227000000, 
0.10626547647916762, -0.15761907758396312, 0.026485024976974764, 10329000000, 
0.08802873364853536, -0.13298868326319024, 0.021965188698124666, 10431000000, 
0.07371295316209314, -0.10638079515383818, 0.018224487103706135, 10533000000, 
0.061115803996185325, -0.08795075049787594, 0.015154309374863338, 10635000000, 
0.05059335077272209, -0.0755542561744152, 0.012608703339308035, 10737000000, 
0.04193674590264729, -0.06267666043639882, 0.010447921245665718, 10839000000, 
0.03474672943151336, -0.051786344252316124, 0.008654824175268024, 10941000000, 
0.028777109194982997, -0.04300534871785716, 0.007171319747981767, 11043000000, 
0.023881510334149092, -0.035507251952170804, 0.005943563729323889, 11145000000, 
0.019827002589863363, -0.029248714395815802, 0.00492902230409169, 11247000000, 
0.01743129837479196, -0.024993673421218415, 0.00346458930693225, 11315000000, 
0.014504989863135864, -0.021306747824389544, 0.002933253146908167, 11417000000, 
0.01208625670546648, -0.017467456435704177, 0.0029935330561508123, 11519000000, 
0.010083019702995744, -0.014450882876274905, 0.0024938501064686695, 11621000000, 
0.008409537770195485, -0.012015421357094755, 0.002079359364148724, 11723000000, 
0.007086012361912641, -0.009794141637526477, 0.001739342748787063, 11825000000, 
0.005946943740222199, -0.008047692908409433, 0.001458089583318462, 11927000000, 
0.004997562354142726, -0.006825000025391881, 0.0012260752550268743, 12029000000, 
0.004215884375531664, -0.005657056747354689, 0.001030906551952968, 12131000000, 
0.003566338173226713, -0.004677203205607886, 0.000869025373397275, 12233000000, 
0.0030253299959785984, -0.003890700586774725, 0.0007349135730421142, 12335000000, 
0.002574227042529742, -0.003242193237571801, 0.0006232808743979835, 12437000000, 
0.002197249781711985, -0.002706144491067364, 0.000530182863774982, 12539000000, 
0.001881839050692835, -0.002262705855676167, 0.00045242547949555015, 12641000000, 
0.0016936602113972743, -0.0019531993136029124, 0.000327122445815452, 12709000000, 
0.001459506779587949, -0.0016876525841590408, 0.0002853170090284233, 12811000000, 
0.0012626298496427601, -0.0014085959534461247, 0.00030027418516270283, 12913000000, 
0.0010970346504122208, -0.001184549441750746, 0.00025970364701571923, 13015000000, 
0.000965689659099489, -0.0009703927795531738, 0.00022612408282250392, 13117000000, 
0.000848411201269883, -0.0008124949318377054, 0.0001979572147331483, 13219000000, 
0.0007480897113003593, -0.0007111109405200318, 0.0001742289588735417, 13321000000, 
0.000663800458246433, -0.0006033030817759805, 0.0001537004932155339, 13423000000, 
0.0005925290045095677, -0.0005083683228457241, 0.00013630050383583246, 13525000000, 
0.0005322512693836101, -0.000429899310009225, 0.00012162348978549352, 13627000000, 
0.00048138827723964717, -0.00036320499107817173, 0.00010921946147703208, 13729000000, 
0.00043869333525059506, -0.0003057448827876309, 9.875863596742195e-05, 13831000000, 
0.0004031115737160862, -0.00025580622066523193, 8.997713666203032e-05, 13933000000, 
0.0003822282105253594, -0.00021864969385816698, 6.936187677121564e-05, 14001000000, 
0.0003570308274274403, -0.00018471381661440945, 6.473433466123687e-05, 14103000000, 
0.00033718817290728786, -0.00014718966541853436, 7.319841033848594e-05, 14205000000, 
0.0003224155533282369, -0.00011312181078171046, 6.913114964908162e-05, 14307000000, 
0.00031358805660408606, -7.712456308235883e-05, 6.617704123309353e-05, 14409000000, 
0.0003091167805988615, -4.346004159926604e-05, 6.426818655612053e-05, 14511000000, 
0.00031031602881959053, -1.0692901256521356e-05, 6.344541888953258e-05, 14613000000, 
0.0003185120564622723, 3.070351589349942e-05, 6.378025087988925e-05, 14715000000, 
0.0003358407563430754, 8.341414223361076e-05, 6.559748123049579e-05, 14817000000, 
-0.049077586377342386, -0.1614251582804074, -0.003292779882388518, 14919000000, 
-0.04677008418885553, -0.1539409311934595, -0.006494804427070128, 15021000000, 
-0.056730261382475944, -0.025008741846841695, -0.010375299372509821, 15123000000, 
-0.07086073243634339, -0.07872760865192109, -0.01185655330452189, 15225000000, 
-0.08378160719783456, -0.08840309089986476, -0.014373336869132463, 15327000000, 
-0.09826978073337633, -0.08957205325827759, -0.01719802418499369, 15429000000, 
-0.11053444198833406, -0.10746786084306655, -0.01657986369544088, 15497000000, 
-0.13183049950229186, -0.1297158477006353, -0.019302634259360126, 15599000000, 
-0.15842671888440363, -0.15651070881068485, -0.027253832905502005, 15701000000, 
-0.19232242160544544, -0.1976860199449463, -0.03281541551946558, 15803000000, 
-0.2339456703079844, -0.24679395890059083, -0.03975924713425267, 15905000000, 
-0.28953081103967315, -0.317674475275254, -0.048674325400811, 16007000000, 
